년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2021,강호레미콘(주),공장폐수 유입지역,공장용지,3지역,6118,15cm,0,15.4,0,0,13.9,0,96.2,11.7,211,,,0,0,0,0,0,0,106,0,0,,0,7.3
2021,삼봉레미콘(주),공장폐수 유입지역,공장용지,3지역,7207,15cm,0,6.1,0,0,7,0,69.7,7.2,208,,,0,0,0,0,0,0,81,0,0,,0,9
2021,기륭레미콘(주),공장폐수 유입지역,공장용지,3지역,4505,15cm,0,21.1,0,0,24.5,0,136.8,25,263,,,0,0,0,0,0,0,123,0,0,,0,8.7
2021,명성산업(주),공장폐수 유입지역,공장용지,3지역,3561,15cm,0,14.4,0,0,14.4,0,57.3,19,255,,,0,0,0,0,0,0,108,0,0,,0,7
2021,주식회사 성창,공장폐수 유입지역,공장용지,3지역,6078,15cm,0,14.3,0,0,6.8,0,46.9,14.9,315,,,0,0,0,0,0,0,90,0,0,,0,8.5
2021,태광레미콘,공장폐수 유입지역,공장용지,3지역,3184,15cm,0,10.9,0,0.05,25,0,46.8,9.5,323,,,0,0,0,0,0,0,742,0,0,,0,6.9
2021,삼척고물상,원광석·고철 등의 보관·사용지역,잡종지(2지역),2지역,2660,15cm,0,23.4,0,0.06,15.3,0,239.1,15.6,293,,,0,0,0,0,0,0,69,,,,,6.1
2021,강원자원,원광석·고철 등의 보관·사용지역,잡종지(2지역),2지역,2139,15cm,0,35.1,0,0.03,15.6,0,97.7,23.1,391,,,0,0,0,0,0,0,4274,,,,,6.3
2021,남동에너지,폐기물 처리 및 재활용 관련 지역,전,1지역,1284,15cm,0.17,48.3,0,0,16.1,0,124.3,19.5,,0,,0,,,,,,,,,,,7.6
2021,원덕매립장,폐기물 처리 및 재활용 관련 지역,잡종지(2지역),2지역,55010,15cm,0,18.3,0,0,13.3,0,71.5,31.5,129,,,0,0,0,0,0,0,155,,,,,6.9
